,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
1378,Hilversum 3,Herman van Veen,72kwuUDDy3gJrOLvKsV8LZ,spotify:track:72kwuUDDy3gJrOLvKsV8LZ,0.691,0.224,5,-15.0,1,0.0586,0.917,0.035,0.11,0.468,90.74,232693,1
1379,Watskeburt?!,De Jeugd Van Tegenwoordig,2Oaq2Q6JFS1xIXGL9TVryY,spotify:track:2Oaq2Q6JFS1xIXGL9TVryY,0.946,0.491,1,-7.931,1,0.231,0.00521,0.0,0.226,0.586,130.029,375973,5
1380,Best of You,Foo Fighters,5FZxsHWIvUsmSK1IAvm2pp,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,255627,2
1381,House For Sale,Lucifer,4kXbcScK3ScRFrZVlBytnm,spotify:track:4kXbcScK3ScRFrZVlBytnm,0.376,0.494,7,-9.007,0,0.0292,0.219,0.0,0.397,0.203,127.659,280772,2
1382,You'll Never Walk Alone,Lee Towers,1PfRjUiACUoB5HoxbU9M7P,spotify:track:1PfRjUiACUoB5HoxbU9M7P,0.351,0.268,10,-16.205,1,0.0307,0.611,0.0956,0.255,0.143,78.39,210240,1
1383,Non non rien n'a changé,Les Poppys,1fxoAloBlcKe3t49QwIL4m,spotify:track:1fxoAloBlcKe3t49QwIL4m,0.503,0.482,7,-7.685,1,0.0879,0.481,0.0,0.204,0.466,83.796,189667,1
1384,The Thrill Is Gone,B.B. King,4NQfrmGs9iQXVQI9IpRhjM,spotify:track:4NQfrmGs9iQXVQI9IpRhjM,0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,324733,0
1385,Anne,Herman van Veen,7orAuVnsGVZhD6BZ7LcWGl,spotify:track:7orAuVnsGVZhD6BZ7LcWGl,0.668,0.078,0,-27.268,0,0.0418,0.671,0.203,0.167,0.284,114.699,227640,1
1386,Feeling Good,Michael Bublé,1AM8QdDFZMq6SrrqUnuQ9P,spotify:track:1AM8QdDFZMq6SrrqUnuQ9P,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,237333,1
1387,Perhaps Love,John Denver,1XeCCcv0C9vD6Z8P9E8uhG,spotify:track:1XeCCcv0C9vD6Z8P9E8uhG,0.393,0.248,9,-10.942,1,0.0363,0.794,1.88e-06,0.0953,0.203,80.755,177307,1
